Dialogue_ID	Utterance_ID	Utterance	label
0	0	also i was the point person on my company's transition from the kl-5 to gr-6 system.	s
0	1	you must've had your hands full.	o
0	2	that i did. that i did.	ag
0	3	so let's talk a little bit about your duties.	s
0	4	my duties?  all right.	ag
0	5	now you'll be heading a whole division, so you'll have a lot of duties.	s
0	6	i see.	ag
0	7	but there'll be perhaps 30 people under you so you can dump a certain amount on them.	o
0	8	good to know.	s
0	9	we can go into detail	o
0	10	no don't i beg of you!	dag
0	11	all right then, we'll have a definite answer for you on monday, by'know, hey! you're the one who ended it, remember?ut i think i can say with some confidence, you'll fit in well here.	o
0	12	really?!	q
0	13	absolutely.  you can relax	ans
1	0	but then who? the waitress i went out with last month?	q
1	1	you know? forget it!	o
1	2	no-no-no-no, no! who, who were you talking about?	q
1	3	no, i-i-i-i don't, i actually don't know	ans
1	4	ok!	b
1	5	all right, well...	oth
1	8	yeah, sure!	b
2	0	hey, mon.	g
2	1	hey-hey-hey. you wanna hear something that sucks.	q
2	2	do i ever.	oth
2	3	chris says they're closing down the bar.	s
2	4	no way!	dag
2	5	yeah, apparently they're turning it into some kinda coffee place.	s
2	6	just coffee! where are we gonna hang out now?	q
2	7	got me.	oth
2	8	can i get a beer.	q
2	9	hey, did you pick a roommate?	q
2	10	you betcha!	oth
2	11	is it the italian guy?	q
2	12	um-mm, yeah right!	ans
3	0	oh my god, oh my god! poor monica!	s
3	1	what, what, what?!	q
3	2	what?!	q
3	3	he was with her when he wrote this poem.	s
3	4	look,  'my vessel so empty with nothing inside.	s
3	5	now that i've touched you, you seem emptier still.'	s
3	6	he thinks monica is empty, she is the empty vase!	o
3	8	oh, totally. oh, god, oh, she seemed so happy too.	o
3	9	done.	ag
4	0	hey!	g
4	1	hi!	g
4	2	what are you doing here?	q
4	3	ah y'know, this building is on my paper route so i...	s
4	4	oh.	b
4	5	hi.	g
4	6	hi.	g
4	7	how'd did it go?	q
4	8	oh well, the woman i interviewed with was pretty tough, but y'know thank god mark coached me, because once i started talking about the fall line, she got all happy and wouldn't shut up.	s
4	9	i'm so proud of you.	ap
4	10	me too!	ag
4	11	listen, i'm ah, i'm sorry i've been so crazy and jealous and, it's just that i like you a lot, so...	ap
4	12	i know.	ag
4	13	yeah.	b
4	14	yeah.	b
5	0	ameri-can.	oth
5	1	ameri-ccan.	oth
5	2	ameri-can. y'know it's a	s
5	3	everybody!!	oth
6	0	good job joe! well done! top notch!	ap
6	1	you liked it? you really liked it?	q
6	2	oh-ho-ho, yeah!	ans
6	3	which part exactly?	q
6	4	the whole thing! can we go?	ans
6	5	oh no-no-no, give me some specifics.	c
6	6	i love the specifics, the specifics were the best part!	o
6	7	hey, what about the scene with the kangaroo? did-did you like that part?	q
6	8	i was surprised to see a kangaroo in a world war i epic.	ans
6	9	you fell asleep!!	s
6	10	there was no kangaroo!	s
6	11	they didn't take any of my suggestions!	s
6	12	that's for coming buddy.	o
6	13	i'll see you later.	s
6	14	don't go!	c
6	15	i'm sorry.	ap
6	16	i'm so sorry!	ap
6	17	look!	c
6	18	this guy fell asleep!	s
6	19	he fell asleep too!	s
6	20	be mad at him!	o
6	21	or, call an ambulance.	o
7	0	okay, look, i think we have to tell rachel she messed up her dessert.	o
7	1	what?! what is with everybody? it's thanksgiving, not...truth-day!	q
8	0	yes, and it is my dying wish to have that ring.	o
8	1	see, if i'm not buried with that ring then my spirit is going to wander the nether world for all eternity	o
8	2	okay, that's enough honey!	s
8	3	i don't know.  let me see the ring.	s
8	4	great! okay, here.	ag
8	5	all right.	oth
8	6	thank you. thank you. thank you!  and	a
9	0	what've you been up to?	q
9	1	oh, you know, the usual, teaching aerobics, partying way too much.	ans
9	2	oh, and in case you were wondering, those are my legs on the new james bond poster.	s
9	3	can you hold on a moment? i have another call.  i love her.	s
9	4	i know.	ag
9	5	i'm back.	s
9	6	so, are we gonna get together or what?	q
9	7	um, absolutely. uh, how 'bout tomorrow afternoon? do you know uh, central perk in the village, say, five-ish?	ans
9	8	great, i'll see you then.	ag
9	9	ok.  ok. having a phone has finally paid off.	s
9	10	even though you do do a good bob impression, i'm thinkin' when she sees you tomorow, she's probably gonna realize,  hey, you're not bob.	o
9	11	i'm hoping that when bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	o
9	12	oh my god. you are pure evil.	o
9	13	ok, pure evil , horny and alone . i've done this	s
10	0	nobody!	oth
10	1	nobody respects the bucket!	o
10	2	you wouldn't believe what people put in here!	s
10	3	look!	c
10	4	okay, does this look like a garbage can to you?	q
10	5	no.	ans
11	0	this is my wedding.	s
11	1	all right, y'know what? we really are late! let's go! let's go! let's go!!	s
11	2	fine. you'll-you'll watch it on video when we get back.	s
11	3	here you go phoebe! here you go phobo! phewbedo! phaybobo.	s
11	4	thank you.	g
11	5	thank you.	g
11	6	all right, let's go! bye, pheebs!	g
11	7	bye, pheebs!	g
11	8	london baby!!	oth
11	9	oh, do you need a hug? you don't have to bring me anything!	o
12	0	hey!	g
12	1	hey! so estelle lined up a bunch of auditions for me tomorrow and i'll have my health insurance back in no time.	s
12	2	that's great, but shouldn't you be on the toilet right now?	q
12	3	what?!	q
12	4	what's wrong with you?	q
12	5	nothing!	ans
12	6	well, i-i got this blinding pain in my stomach when i was lifting weights before, then i uh passed out and uh, haven't been able to stand up since.	s
12	7	but um, i don't think it's anything serious.	o
12	8	this sounds like a hernia. you have to—you-you go to the doctor!	o
12	9	no way! 'kay look, if i have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!	dag
12	10	that's a hernia.	s
12	11	why did i have to start working out again?  damn you 15s!	q
13	0	i love your place! where is this guy from?	q
13	1	uh that's an eighteenth century indian artifact from calcutta.	ans
13	2	oh wow! so, you're more than just dinosaurs.	o
13	3	so much more.	ag
14	0	well, well to sum up, we're having fun, you look young.	s
14	1	okay	ag
14	2	but that's not enough. so… so…here's a key to my apartment.	s
14	3	really?!	q
14	4	really.	ans
14	5	you don't think this is too fast.	o
15	0	get out!	c
15	1	ross, can i talk to you for a minute?	q
15	2	yes, please!  so, what's going on?	ans
15	3	uh, well... joey and i broke up.	s
15	4	oh my god, wh-what happened?	q
15	5	joey is a great guy, but we're just... so different! i mean, during your speech he kept laughing at homo erectus!	ans
15	6	i knew that was him!	o
15	7	anyway i just, uh, i think it's for the best.	o
15	8	hey, you ok?	q
15	9	i guess.	ans
15	10	there was hum...  there was another reason that i thought it was time to end it with joey.	s
15	11	i started to realize that i was having feelings for someone  else.	o
15	12	ok geller. last day of the conference, you know what happens to the keynote speaker.	s
15	13	oh, professor clerk we're kind of in the middle of a conversation, here.	s
15	14	yeah, can you guys just throw him in the pool later?	q
15	15	or we could throw you both in	o
15	16	ok, gentlemen!	oth
15	17	please!	oth
15	18	aren't we a little old for this?	o
15	19	i mean, we're scientists, right?	o
15	20	we're academics.	s
15	21	and most importantly i... you-you will have to catch us first.	s
15	22	go, go, go!	c
16	0	go, go, go!	c
16	1	oh yeah, now everybody wants to be under this hat!	o
16	2	oy!!	oth
16	3	what's with all this sand?	q
16	4	oh, yeah, bob said there might be flood damage.	s
16	5	yeah, either that, or he has a really big cat.	o
17	0	okay, see that blind guy right there? i'm gonna bash his head in later.	s
17	1	oh umm, my big scene is coming up. big scene coming up.	s
